lab	agr	min	man	ps	con	ser	fin	sps	tc
Turkey	66.8	0.7	7.9	0.1	2.8	5.2	1.1	11.9	3.2
Yugoslavia	48.7	1.5	16.8	1.1	4.9	6.4	11.3	5.3	4
Greece	41.4	0.6	17.6	0.6	8.1	11.5	2.4	11	6.7
Belgium	3.3	0.9	27.6	0.9	8.2	19.1	6.2	26.6	7.2
Sweden	6.1	0.4	25.9	0.8	7.2	14.4	6	32.4	6.8
Switzerland	7.7	0.2	37.8	0.8	9.5	17.5	5.3	15.4	5.7
Great Britain	2.7	1.4	30.2	1.4	6.9	16.9	5.7	28.3	6.4
West Germany	6.7	1.3	35.8	0.9	7.3	14.4	5	22.3	6.1
Czechoslovakia	16.5	2.9	35.5	1.2	8.7	9.2	0.9	17.9	7
Hungary	21.7	3.1	29.6	1.9	8.2	9.4	0.9	17.2	8
